decimal_rgb	html_name	hex_string
"[240,248,255]"	AliceBlue	#F0F8FF
"[250,235,215]"	AntiqueWhite	#FAEBD7
"[0,255,255]"	Aqua	#00FFFF
"[127,255,212]"	Aquamarine	#7FFFD4
"[240,255,255]"	Azure	#F0FFFF
"[245,245,220]"	Beige	#F5F5DC
"[255,228,196]"	Bisque	#FFE4C4
"[0,0,0]"	Black	#000000
"[255,235,205]"	BlanchedAlmond	FFEBCD
"[0,0,255]"	Blue	#0000FF
"[138,43,226]"	BlueViolet	#8A2BE2
"[165,42,42]"	Brown	#A52A2A
"[222,184,135]"	BurlyWood	#DEB887
"[95,158,160]"	CadetBlue	#5F9EA0
"[127,255,0]"	Chartreuse	#7FFF00
"[210,105,30]"	Chocolate	#D2691E
"[255,127,80]"	Coral	#FF7F50
"[100,149,237]"	CornflowerBlue	#6495ED
"[255,248,220]"	Cornsilk	#FFF8DC
"[220,20,60]"	Crimson	#DC143C
"[0,255,255]"	Cyan	#00FFFF
"[0,0,139]"	DarkBlue	#00008B
"[0,139,139]"	DarkCyan	#008B8B
"[184,134,11]"	DarkGoldenrod	#B8860B
"[169,169,169]"	DarkGray	#A9A9A9
"[0,100,0]"	DarkGreen	#006400
"[189,183,107]"	DarkKhaki	#BDB76B
"[139,0,139]"	DarkMagenta	#8B008B
"[85,107,47]"	DarkOliveGreen	#556B2F
"[255,140,0]"	DarkOrange	#FF8C00
"[153,50,204]"	DarkOrchid	#9932CC
"[139,0,0]"	DarkRed	#8B0000
"[233,150,122]"	DarkSalmon	#E9967A
"[143,188,143]"	DarkSeaGreen	#8FBC8F
"[72,61,139]"	DarkSlateBlue	#483D8B
"[47,79,79]"	DarkSlateGray	#2F4F4F
"[0,206,209]"	DarkTurquoise	#00CED1
"[148,0,211]"	DarkViolet	#9400D3
"[255,20,147]"	DeepPink	#FF1493
"[0,191,255]"	DeepSkyBlue	#00BFFF
"[105,105,105]"	DimGray	#696969
"[30,144,255]"	DodgerBlue	#1E90FF
"[178,34,34]"	FireBrick	#B22222
"[255,250,240]"	FloralWhite	#FFFAF0
"[34,139,34]"	ForestGreen	#228B22
"[255,0,255]"	Fuchsia	#FF00FF
"[220,220,220]"	Gainsboro	DCDCDC
"[248,248,255]"	GhostWhite	#F8F8FF
"[255,215,0]"	Gold	#FFD700
"[218,165,32]"	Goldenrod	#DAA520
"[128,128,128]"	Gray	#808080
"[0,128,0]"	Green	#008000
"[173,255,47]"	GreenYellow	#ADFF2F
"[240,255,240]"	Honeydew	#F0FFF0
"[255,105,180]"	HotPink	#FF69B4
"[205,92,92]"	IndianRed	#CD5C5C
"[75,0,130]"	Indigo	#4B0082
"[255,255,240]"	Ivory	#FFFFF0
"[240,230,140]"	Khaki	#F0E68C
"[230,230,250]"	Lavender	#E6E6FA
"[255,240,245]"	LavenderBlush	#FFF0F5
"[124,252,0]"	LawnGreen	#7CFC00
"[255,250,205]"	LemonChiffon	#FFFACD
"[173,216,230]"	LightBlue	#ADD8E6
"[240,128,128]"	LightCoral	#F08080
"[224,255,255]"	LightCyan	#E0FFFF
"[250,250,210]"	LightGoldenrodYellow	#FAFAD2
"[144,238,144]"	LightGreen	#90EE90
"[211,211,211]"	LightGrey	#D3D3D3
"[255,182,193]"	LightPink	#FFB6C1
"[255,160,122]"	LightSalmon	#FFA07A
"[32,178,170]"	LightSeaGreen	#20B2AA
"[135,206,250]"	LightSkyBlue	#87CEFA
"[119,136,153]"	LightSlateGray	#778899
"[176,196,222]"	LightSteelBlue	#B0C4DE
"[255,255,224]"	LightYellow	#FFFFE0
"[0,255,0]"	Lime	#00FF00
"[50,205,50]"	LimeGreen	#32CD32
"[250,240,230]"	Linen	#FAF0E6
"[255,0,255]"	Magenta	#FF00FF
"[128,0,0]"	Maroon	#800000
"[102,205,170]"	MediumAquamarine	#66CDAA
"[0,0,205]"	MediumBlue	#0000CD
"[186,85,211]"	MediumOrchid	#BA55D3
"[147,112,219]"	MediumPurple	#9370DB
"[60,179,113]"	MediumSeaGreen	#3CB371
"[123,104,238]"	MediumSlateBlue	#7B68EE
"[0,250,154]"	MediumSpringGreen	#00FA9A
"[72,209,204]"	MediumTurquoise	#48D1CC
"[199,21,133]"	MediumVioletRed	#C71585
"[25,25,112]"	MidnightBlue	#191970
"[245,255,250]"	MintCream	#F5FFFA
"[255,228,225]"	MistyRose	#FFE4E1
"[255,228,181]"	Moccasin	#FFE4B5
"[255,222,173]"	NavajoWhite	#FFDEAD
"[0,0,128]"	Navy	#000080
"[253,245,230]"	OldLace	#FDF5E6
"[128,128,0]"	Olive	#808000
"[107,142,35]"	OliveDrab	#6B8E23
"[255,165,0]"	Orange	#FFA500
"[255,69,0]"	OrangeRed	#FF4500
"[218,112,214]"	Orchid	#DA70D6
"[238,232,170]"	PaleGoldenrod	#EEE8AA
"[152,251,152]"	PaleGreen	#98FB98
"[175,238,238]"	PaleTurquoise	#AFEEEE
"[219,112,147]"	PaleVioletRed	#DB7093
"[255,239,213]"	PapayaWhip	#FFEFD5
"[255,218,185]"	PeachPuff	#FFDAB9
"[205,133,63]"	Peru	#CD853F
"[255,192,203]"	Pink	#FFC0CB
"[221,160,221]"	Plum	#DDA0DD
"[176,224,230]"	PowderBlue	#B0E0E6
"[128,0,128]"	Purple	#800080
"[255,0,0]"	Red	#FF0000
"[188,143,143]"	RosyBrown	#BC8F8F
"[65,105,225]"	RoyalBlue	#4169E1
"[139,69,19]"	SaddleBrown	#8B4513
"[250,128,114]"	Salmon	#FA8072
"[244,164,96]"	SandyBrown	#F4A460
"[46,139,87]"	SeaGreen	#2E8B57
"[255,245,238]"	Seashell	#FFF5EE
"[160,82,45]"	Sienna	#A0522D
"[192,192,192]"	Silver	#C0C0C0
"[135,206,235]"	SkyBlue	#87CEEB
"[106,90,205]"	SlateBlue	#6A5ACD
"[112,128,144]"	SlateGray	#708090
"[255,250,250]"	Snow	#FFFAFA
"[0,255,127]"	SpringGreen	#00FF7F
"[70,130,180]"	SteelBlue	#4682B4
"[210,180,140]"	Tan	#D2B48C
"[0,128,128]"	Teal	#008080
"[216,191,216]"	Thistle	#D8BFD8
"[255,99,71]"	Tomato	#FF6347
"[64,224,208]"	Turquoise	#40E0D0
"[238,130,238]"	Violet	#EE82EE
"[245,222,179]"	Wheat	#F5DEB3
"[255,255,255]"	White	#FFFFFF
"[245,245,245]"	WhiteSmoke	#F5F5F5
"[255,255,0]"	Yellow	#FFFF00
"[154,205,50]"	YellowGreen	#9ACD32
